"filename", "language", "JSON", "Markdown", "Python", "XML", "Properties", "Java", "Vue", "HTML", "JavaScript", "Excel", "JSON with Comments", "Batch", "comment", "blank", "total"
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_boot_spring_boot_2_3_7_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_boot_spring_boot_autoconfigure_2_3_7_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_2_3_7_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_json_2_3_7_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_logging_2_3_7_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_test_2_3_7_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_tomcat_2_3_7_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_boot_spring_boot_starter_web_2_3_7_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_boot_spring_boot_test_2_3_7_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_boot_spring_boot_test_autoconfigure_2_3_7_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_spring_aop_5_2_12_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"e:\code\Shanruan_app\shanruan\.idea\libraries\Maven__org_springframework_spring_beans_5_2_12_RELEASE.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
